name,title,category,origin,originName,apiVersion,isDynamic,blockJson,hasRenderPhp,hasIndexPhp,hasViewJs,sourceRoot
woocommerce/featured-category,Featured Category,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/featured-category/block.json,False,False,False,woocommerce
woocommerce/featured-product,Featured Product,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/featured-product/block.json,False,False,False,woocommerce
woocommerce/filled-cart-block,Filled Cart,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/filled-cart-block/block.json,False,False,False,woocommerce
woocommerce/filled-mini-cart-contents-block,Filled Mini-Cart view,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/filled-mini-cart-contents-block/block.json,False,False,False,woocommerce
woocommerce/filter-wrapper,Filter Block,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/filter-wrapper/block.json,False,False,False,woocommerce
woocommerce/handpicked-products,Hand-picked Products,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/handpicked-products/block.json,False,False,False,woocommerce
woocommerce/mini-cart,Mini-Cart,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/mini-cart/block.json,False,False,False,woocommerce
woocommerce/mini-cart-cart-button-block,Mini-Cart View Cart Button,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-cart-button-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-checkout-button-block,Mini-Cart Proceed to Checkout Button,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-checkout-button-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-contents,Mini-Cart Contents,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/mini-cart-contents/block.json,False,False,False,woocommerce
woocommerce/mini-cart-footer-block,Mini-Cart Footer,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-footer-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-items-block,Mini-Cart Items,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-items-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-products-table-block,Mini-Cart Products Table,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-products-table-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-shopping-button-block,Mini-Cart Shopping Button,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-shopping-button-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-title-block,Mini-Cart Title,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-title-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-title-items-counter-block,Mini-Cart Title Items Counter,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-title-items-counter-block/block.json,False,False,False,woocommerce
woocommerce/mini-cart-title-label-block,Mini-Cart Title Label,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/mini-cart-title-label-block/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-additional-fields,Additional Field List,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-additional-fields/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-additional-fields-wrapper,Additional Fields,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-additional-fields-wrapper/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-additional-information,Additional Information,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-additional-information/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-billing-address,Billing Address,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-billing-address/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-billing-wrapper,Billing Address Section,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-billing-wrapper/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-create-account,Account Creation,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-create-account/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-downloads,Order Downloads,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-downloads/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-downloads-wrapper,Downloads Section,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-downloads-wrapper/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-shipping-address,Shipping Address,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-shipping-address/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-shipping-wrapper,Shipping Address Section,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-shipping-wrapper/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-status,Order Status,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-status/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-summary,Order Summary,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-summary/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-totals,Order Totals,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-totals/block.json,False,False,False,woocommerce
woocommerce/order-confirmation-totals-wrapper,Order Totals Section,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/order-confirmation-totals-wrapper/block.json,False,False,False,woocommerce
woocommerce/page-content-wrapper,WooCommerce Page,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/page-content-wrapper/block.json,False,False,False,woocommerce
woocommerce/payment-method-icons,Payment Method Icons,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/payment-method-icons/block.json,False,False,False,woocommerce
woocommerce/price-filter,Filter by Price Controls,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/price-filter/block.json,False,False,False,woocommerce
woocommerce/proceed-to-checkout-block,Proceed to Checkout,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/proceed-to-checkout-block/block.json,False,False,False,woocommerce
